customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0029,Female,0,Yes,Yes,13,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),83.48,,Yes
CUST-0030,Female,1,Yes,No,54,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Mailed check,86.49,4367.26,Yes
CUST-0031,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,111.24,722.79,Yes
CUST-0032,Male,1,No,No,14,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),32.68,423.29,No
CUST-0033,Female,1,Yes,No,19,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),87.23,1641.72,Yes
CUST-0034,Female,0,Yes,No,54,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,One year,No,Electronic check,109.14,5911.81,No
CUST-0035,Female,0,No,No,20,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,68.16,1263.25,No
CUST-0036,Male,1,Yes,No,29,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.18,1721.87,Yes
CUST-0037,Female,1,Yes,Yes,24,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),35.07,800.9,No
CUST-0038,Male,0,No,Yes,63,No,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No,One year,Yes,Mailed check,104.68,6540.55,No
CUST-0039,Male,0,Yes,Yes,57,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,57.42,3087.21,Yes
CUST-0040,Male,0,Yes,Yes,8,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),110.49,882.85,No
CUST-0041,Male,1,Yes,No,62,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),102.78,6698.65,No
CUST-0042,Male,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),55.66,1620.95,No
CUST-0043,Female,0,Yes,No,17,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.39,1226.69,No
CUST-0044,Female,0,Yes,Yes,66,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),20.72,1298.71,No
CUST-0045,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,One year,No,Mailed check,44.32,279.69,Yes
CUST-0046,Female,0,Yes,No,58,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),89.03,4769.48,No
CUST-0047,Female,0,No,Yes,69,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No,One year,No,Mailed check,85.79,,No
CUST-0048,Male,0,No,No,28,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Two year,No,Electronic check,53.34,1389.42,No
CUST-0049,Female,0,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),98.86,5832.63,Yes
CUST-0050,Female,0,No,Yes,41,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,One year,No,Mailed check,41.58,1586.36,No
CUST-0051,Male,0,No,No,69,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,64.13,4767.26,No
CUST-0052,Female,1,Yes,No,41,Yes,No,DSL,No,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,65.25,2799.33,Yes
CUST-0053,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),52.08,2583.02,Yes
CUST-0054,Female,0,No,No,49,No,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,113.47,5253.59,No
CUST-0055,Male,1,Yes,No,71,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,87.67,6237.3,Yes
CUST-0056,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),71.92,216.66,Yes
CUST-0057,Female,0,Yes,No,10,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,One year,Yes,Electronic check,69.05,702.98,Yes
CUST-0058,Male,0,No,No,35,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),33.93,1083.07,Yes
CUST-0059,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),55.22,120.89,Yes
CUST-0060,Male,0,No,No,24,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,85.28,2032.57,No
CUST-0061,Male,0,No,Yes,38,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),110.46,4555.55,Yes
CUST-0062,Male,0,No,No,22,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.65,1977.37,No
CUST-0063,Male,0,No,No,26,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,48.04,1185.98,No
CUST-0064,Male,0,No,No,43,Yes,No phone service,No,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,61.4,2431.09,No
CUST-0065,Male,0,No,Yes,55,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,No,Electronic check,26.29,1523.92,No
CUST-0066,Female,0,No,No,39,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),28.22,1060.99,No
CUST-0067,Female,0,Yes,Yes,29,Yes,No,No,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),65.02,2013.99,No
CUST-0068,Male,0,Yes,Yes,20,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.02,1514.82,Yes
CUST-0069,Female,1,No,Yes,41,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),44.4,1881.49,No
CUST-0070,Female,0,No,No,54,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,82.28,4590.44,No
CUST-0071,Female,0,Yes,No,20,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No,No,Two year,Yes,Credit card (automatic),88.34,1837.53,No
CUST-0072,Female,0,No,No,19,Yes,No,DSL,No internet service,No,No,No,No internet service,Yes,One year,Yes,Mailed check,47.91,941.93,No
CUST-0073,Male,0,Yes,Yes,66,Yes,No,No,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),93.84,6053.35,No
CUST-0074,Female,0,Yes,No,30,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,38.56,1199.1,Yes
CUST-0075,Male,1,Yes,No,53,Yes,No,DSL,No,No,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,72.43,4143.9,Yes
CUST-0076,Female,1,No,No,34,Yes,No,No,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,98.43,3234.56,No
CUST-0077,Female,0,No,Yes,22,Yes,Yes,No,No,Yes,Yes,No,No internet service,Yes,One year,Yes,Electronic check,71.7,1717.75,No
CUST-0078,Female,1,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,108.8,6580.44,Yes
CUST-0079,Male,0,Yes,No,6,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,23.85,138.78,No
CUST-0080,Female,0,Yes,No,27,Yes,No,No,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,76.83,1921.77,Yes
CUST-0081,Male,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),74.18,686.41,Yes
CUST-0082,Female,1,Yes,Yes,48,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),84.04,4288.4,No
CUST-0083,Male,0,No,No,70,Yes,Yes,No,No,Yes,No,Yes,Yes,No internet service,One year,No,Mailed check,101.34,7687.36,No
CUST-0084,Female,0,Yes,No,59,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),90.59,5641.72,No
CUST-0085,Male,0,No,No,59,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),97.03,6270.47,No
CUST-0086,Male,0,Yes,No,2,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,One year,Yes,Electronic check,46.88,88.44,No
CUST-0087,Female,0,No,Yes,29,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),56.75,1527.52,Yes
CUST-0088,Male,0,No,No,68,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),80.68,5508.96,Yes
CUST-0089,Female,0,No,No,65,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),73.35,5081.5,No
CUST-0090,Female,0,No,No,26,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),114.11,2693.81,No
CUST-0091,Female,0,No,No,10,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No,One year,Yes,Electronic check,36.68,403.15,No
CUST-0092,Female,0,No,No,53,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,53.13,2873.47,Yes
CUST-0093,Female,0,Yes,Yes,59,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,75.28,,Yes
CUST-0094,Female,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),104.8,2243.39,Yes
CUST-0095,Female,1,Yes,Yes,51,Yes,No,DSL,Yes,No internet service,No internet service,No,Yes,No,Two year,Yes,Electronic check,110.93,5609.93,No
CUST-0096,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,51.6,2601.81,Yes
CUST-0097,Female,0,No,No,21,Yes,Yes,DSL,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),24.71,549.29,Yes
CUST-0098,Female,0,Yes,No,22,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),60.16,1252.85,Yes
CUST-0099,Female,0,No,No,30,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,57.43,1871.0,No
CUST-0100,Male,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,116.65,3130.55,No
CUST-0101,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,61.11,1546.2,Yes
CUST-0102,Female,0,Yes,No,65,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,48.57,2922.52,Yes
CUST-0103,Female,0,Yes,Yes,45,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,54.54,,No
CUST-0104,Female,0,No,No,68,Yes,No,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,57.69,3892.29,No
CUST-0105,Female,0,No,No,7,No,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Two year,No,Credit card (automatic),100.15,730.27,No
CUST-0106,Female,0,Yes,No,49,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),26.1,1173.96,No
CUST-0107,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),49.65,459.8,No
CUST-0108,Female,0,No,No,36,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,114.63,4222.72,No
CUST-0109,Female,0,Yes,Yes,1,Yes,Yes,No,No,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,33.31,31.54,No
CUST-0110,Male,0,No,No,10,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,No,Electronic check,92.26,930.42,Yes
CUST-0111,Female,0,Yes,Yes,36,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,53.64,1823.75,Yes
CUST-0112,Male,0,Yes,Yes,46,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),76.18,3256.82,Yes
CUST-0113,Female,0,No,Yes,32,Yes,No,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,27.95,907.48,Yes
CUST-0114,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),48.64,1705.12,No
CUST-0115,Male,1,No,No,6,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,68.09,387.05,Yes
CUST-0116,Female,1,Yes,Yes,48,Yes,No,No,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,41.17,1918.98,Yes
CUST-0117,Male,0,Yes,No,38,No,Yes,No,No internet service,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,72.19,2609.67,No
CUST-0118,Female,0,No,No,17,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),39.98,647.91,No
CUST-0119,Female,0,No,Yes,27,Yes,No phone service,DSL,No,No internet service,No internet service,No,No,No,One year,Yes,Credit card (automatic),83.01,,Yes
CUST-0120,Male,0,No,No,54,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.44,6092.16,Yes
CUST-0121,Female,0,No,No,50,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,26.55,1205.05,No
CUST-0122,Male,0,Yes,No,35,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),39.66,1515.01,No
CUST-0123,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),102.44,2328.6,Yes
CUST-0124,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,81.16,2445.76,No
CUST-0125,Male,0,Yes,No,15,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),25.87,418.66,No
CUST-0126,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),66.64,267.87,No
CUST-0127,Female,0,No,No,27,Yes,No phone service,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,38.98,976.05,Yes
CUST-0128,Male,0,No,Yes,26,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,37.91,998.5,No
CUST-0129,Female,0,Yes,No,19,Yes,No,DSL,No,Yes,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),112.06,2183.92,Yes
CUST-0130,Female,0,No,No,17,Yes,No,DSL,No internet service,No internet service,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),94.15,1715.07,Yes
CUST-0131,Female,0,No,Yes,43,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,87.62,3806.01,No
CUST-0132,Male,1,Yes,Yes,41,Yes,No,No,No,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),41.89,1686.82,No
CUST-0133,Male,0,No,No,42,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),29.86,1338.97,No
CUST-0134,Male,0,Yes,No,50,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),105.08,5759.38,No
CUST-0135,Male,0,No,No,40,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,18.59,765.18,No
CUST-0136,Male,0,Yes,No,39,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,56.81,2381.49,No
CUST-0137,Male,0,No,Yes,23,Yes,No,No,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),45.76,1073.26,Yes
CUST-0138,Male,0,No,No,52,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,75.04,4050.19,No
CUST-0139,Male,0,Yes,Yes,47,Yes,No phone service,No,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),43.05,2099.5,Yes
CUST-0140,Male,0,Yes,No,63,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),49.12,3221.31,No
CUST-0141,Female,0,No,No,69,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,103.0,6852.59,No
CUST-0142,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),78.32,3418.72,No
CUST-0143,Female,0,Yes,No,48,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),32.57,1592.79,No
CUST-0144,Female,0,Yes,No,34,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,90.65,,Yes
CUST-0145,Female,0,Yes,No,40,Yes,No phone service,DSL,No internet service,No,Yes,No internet service,No,Yes,Two year,No,Bank transfer (automatic),38.75,1503.45,No
CUST-0146,Male,1,No,No,61,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,Two year,No,Credit card (automatic),61.3,3935.42,No
CUST-0147,Male,0,No,No,50,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,82.66,4201.38,No
CUST-0148,Male,0,Yes,No,67,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No,One year,No,Credit card (automatic),45.19,,No
CUST-0149,Male,0,Yes,No,62,Yes,No phone service,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),56.41,3733.59,No
CUST-0150,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,91.41,5708.02,No
CUST-0151,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,111.79,3664.09,No
CUST-0152,Male,0,No,Yes,16,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No,One year,No,Credit card (automatic),70.92,1068.66,No
CUST-0153,Male,0,No,No,48,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,19.0,993.64,No
CUST-0154,Male,0,Yes,No,10,Yes,No phone service,DSL,No internet service,No,No,No,No,Yes,One year,Yes,Electronic check,51.85,558.14,No
CUST-0155,Male,0,Yes,Yes,38,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),57.86,,No
CUST-0156,Female,0,Yes,Yes,19,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,51.92,906.69,No
CUST-0157,Male,0,No,Yes,36,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,61.63,2192.35,Yes
CUST-0158,Female,0,Yes,No,59,Yes,Yes,No,Yes,Yes,No internet service,No,Yes,No,Two year,No,Mailed check,81.27,4964.09,No
CUST-0159,Male,0,No,No,63,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),30.11,,No
CUST-0160,Female,0,Yes,No,46,Yes,Yes,DSL,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,45.26,2087.46,No
CUST-0161,Male,0,No,No,3,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),68.76,203.2,Yes
CUST-0162,Male,1,Yes,No,65,Yes,Yes,DSL,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,49.56,3473.02,No
CUST-0163,Female,0,No,No,8,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,117.11,923.68,Yes
CUST-0164,Female,0,Yes,No,51,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No internet service,One year,No,Credit card (automatic),61.14,3139.2,No
CUST-0165,Female,0,Yes,No,6,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),104.98,687.24,Yes
CUST-0166,Male,0,Yes,No,39,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,No,Mailed check,107.65,4030.16,No
CUST-0167,Female,0,No,No,60,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,101.6,5838.74,No
